"393319","18311","94","30","31.91"
"546282","17981","133","26","19.55"
"753879","17981","141","24","17.02"
"234962","17981","178","24","13.48"
"370037","16982","27","9","33.33"
"886357","28423","27","8","29.63"
"558496","31178","13","8","61.54"
"519026","16982","15","6","40"
"93887","17981","19","5","26.32"
"666356","null","13","5","38.46"
"992060","null","8","4","50"
"799320","null","11","4","36.36"
"603686","null","11","4","36.36"
"426912","57926","8","4","50"
"412247","16820","13","4","30.77"
"381833","null","15","4","26.67"
"371290","173","13","4","30.77"
"357253","12478","15","4","26.67"
"352270","null","14","4","28.57"
"336489","null","12","4","33.33"
"205995","17981","19","4","21.05"
"123396","null","15","4","26.67"
"730998","null","25","3","12"
"379683","17659","8","3","37.5"
"348206","null","13","3","23.08"
"329669","17725","7","3","42.86"
"2326649","17008","4","3","75"
"1817941","null","7","3","42.86"
"99770","null","3","2","66.67"
"982591","18136","2","2","100"
"966222","17515","2","2","100"
"962021","1602","3","2","66.67"
"92194","17626","2","2","100"
"893237","771","2","2","100"
"84954","18311","2","2","100"
"845687","41302","2","2","100"
"844930","17725","2","2","100"
"841372","53485","2","2","100"
"812561","30718","2","2","100"
"802268","null","20","2","10"
"7953","18170","2","2","100"
"685258","null","32","2","6.25"
"677160","16992","3","2","66.67"
"672862","18232","2","2","100"
"633570","17659","2","2","100"
"6243","null","3","2","66.67"
"61873","null","10","2","20"
"602254","17665","2","2","100"
"582382","52256","2","2","100"
"577772","17725","2","2","100"
"56291","17665","2","2","100"
"491434","18170","2","2","100"
"479098","null","14","2","14.29"
"456801","null","7","2","28.57"
"426682","18170","2","2","100"
"424735","null","8","2","25"
"420636","null","7","2","28.57"
"418135","12478","2","2","100"
"409969","null","11","2","18.18"
"384400","16992","2","2","100"
"367043","47295","2","2","100"
"359148","18199","2","2","100"
"354217","17626","2","2","100"
"352529","57926","2","2","100"
"344230","18311","2","2","100"
"327699","null","9","2","22.22"
"313908","1602","2","2","100"
"2936058","28218","7","2","28.57"
"2890701","17626","2","2","100"
"288080","28200","2","2","100"
"2803086","60612","2","2","100"
"280258","804","2","2","100"
"2734291","36756","2","2","100"
"2704089","17100","2","2","100"
"2601654","17259","2","2","100"
"24958","null","14","2","14.29"
"24867","17265","2","2","100"
"2449495","51598","2","2","100"
"24410","42081","2","2","100"
"2417899","31514","2","2","100"
"2388693","18136","2","2","100"
"2380826","54008","2","2","100"
"235108","53023","2","2","100"
"229677","31514","2","2","100"
"2160020","2582","2","2","100"
"1976928","17276","2","2","100"
"193999","17451","2","2","100"
"190752","27865","2","2","100"
"1829459","29830","2","2","100"
"1817153","17265","2","2","100"
"1785165","29830","2","2","100"
"178198","29474","2","2","100"
"1754748","null","7","2","28.57"
"172974","33959","2","2","100"
"1724795","17285","2","2","100"
"1689468","29474","2","2","100"
"162673","17494","15","2","13.33"
"1624277","null","14","2","14.29"
"1612516","1602","2","2","100"
"14663","16992","2","2","100"
"1457055","27865","2","2","100"
"1382116","17981","2","2","100"
"1301261","173","2","2","100"
"1281467","30718","2","2","100"
"1265359","16800","2","2","100"
"1158809","54008","2","2","100"
"1127583","53485","2","2","100"
"110175","16982","2","2","100"
